date,open,high,low,close,VWAP,volume,Change Percent,Change,Trade Value
2020/12/22,121.7905,121.9188,120.0336,120.0928,120.8193,11189697,-1.522,-1.8556,1425479820
2020/12/23,121.1884,124.8799,120.764,123.4487,123.5368,14967750,2.794,3.3559,1873201970
2020/12/24,123.4684,123.9225,121.9681,122.9058,122.5581,4164948,-0.44,-0.542871,517085917
2020/12/28,124.189,125.0082,123.1709,123.7152,124.0379,8061528,0.659,0.80937,1013126380
2020/12/29,124.5641,124.6429,123.271,123.3895,123.6935,8384533,-0.263,-0.325721,1050821500
2020/12/30,123.8633,124.2137,123.2809,123.7349,123.8005,7395936,0.28,0.345462,927671620
2020/12/31,123.4684,125.6794,123.2019,125.4228,124.7314,8577728,1.364,1.6878,1083815790
2021/1/4,125.8472,126.2005,123.1625,124.2383,124.3991,16806736,-0.944,-1.1844,2118020140
2021/1/5,124.2582,125.56,123.0453,124.9143,124.7571,13723010,0.544,0.675989,1723257340
2021/1/6,129.1196,131.9926,127.1313,130.7798,130.5161,24897435,4.696,5.8655,3266169880
2021/1/7,134.8955,137.3809,134.13,135.0745,135.5497,21923792,3.284,4.2947,2993397620
2021/1/8,135.1739,135.5517,133.3347,135.2236,134.6323,12016894,0.11,0.149122,1627189720
2021/1/11,133.792,137.3908,133.3248,137.2417,136.3029,15936476,1.492,2.0181,2184768390
2021/1/12,138.6236,140.8305,138.0172,139.399,139.6985,18018534,1.572,2.1573,2530377770
2021/1/13,137.7786,139.9657,137.2914,139.5283,138.5824,14801908,0.093,0.129239,2064154210
2021/1/14,139.6674,141.9142,139.1803,140.3434,140.8902,18516947,0.584,0.815199,2625984380
2021/1/15,136.6253,140.8206,136.2078,137.8283,138.1054,27856351,-1.792,-2.5152,3786631340
2021/1/19,139.0411,139.8762,137.0131,137.2318,137.8361,19776109,-0.433,-0.596487,2742335880
2021/1/20,137.0131,137.361,134.642,135.1739,135.3198,16022830,-1.5,-2.0579,2180825200
2021/1/21,134.8955,135.3628,133.5385,134.0406,134.1363,13411675,-0.838,-1.1333,1809506330
2021/1/22,131.9131,133.6131,131.426,133.0067,132.903,12929420,-0.771,-1.0339,1728385200
2021/1/25,131.3663,132.3903,129.2985,131.3464,130.8324,14209387,-1.248,-1.6602,1869974520
2021/1/26,131.9727,132.3903,130.571,130.8096,131.4878,11271138,-0.409,-0.536838,1490618500
2021/1/27,128.8313,129.0897,126.6044,127.1114,127.4399,17569332,-2.827,-3.6982,2254901820
2021/1/28,129.1394,131.3961,128.2348,129.3482,129.848,13752649,1.76,2.2368,1796310870
2021/1/29,130.4219,130.9488,127.4394,127.9166,128.7668,14797730,-1.107,-1.4316,1916489080
2021/2/1,128.6424,129.3081,127.7228,128.8611,128.5931,11075079,0.738,0.944438,1432382290
2021/2/2,131.1675,133.6031,130.4517,132.8277,132.7238,12236415,3.078,3.9666,1633330800
2021/2/3,132.8675,134.9602,132.7283,134.3488,134.1592,10590336,1.145,1.521,1428976300
2021/2/4,134.6768,137.8481,134.6768,137.4405,136.9666,12405370,2.301,3.0918,1708900970
2021/2/5,138.5739,138.6733,136.5756,137.1721,137.3087,10045121,-0.195,-0.268419,1387296790
2021/2/8,137.3908,139.4785,137.371,139.3195,138.9348,10132925,1.565,2.1474,1415854240
2021/2/9,138.6136,139.1604,137.7288,138.7628,138.6519,8611680,-0.4,-0.556721,1201002690
